code;location;registered;envelopes;valid;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;Volte Pr.Blok www.cibulka.net;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;SpoleË.proti v˝st.v Prok.˙dolÌ;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;OB»AN… 2011-SPRAVEDL. PRO LIDI;Unie H.A.V.E.L.;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
500054;Praha 1;28587;18269;18103;3638;10;20;847;14;2;961;520;668;53;9;317;19;60;7;0;17;3503;2155;2;10;1178;4;166;12;3;807;45
500224;Praha 10;333423;209874;208238;32705;195;142;12641;171;68;9379;9877;5083;925;50;4326;149;264;34;32;130;25858;42846;159;230;9496;38;1923;298;234;12109;717
547034;Praha 11;149645;103505;103001;13621;120;33;6415;79;45;4167;5814;2039;512;37;2306;76;162;32;18;62;9797;26188;75;80;4301;43;1049;214;142;6960;366
547107;Praha 12;88733;59916;59637;8144;53;23;3864;55;25;2329;4058;1088;341;39;1207;46;90;24;1;32;5169;15132;54;57;2331;13;581;135;54;4018;312
539694;Praha 13;98451;64808;64476;10565;54;36;3571;25;31;3285;2673;1421;280;196;1643;49;102;13;1;37;7544;12854;31;66;2878;12;615;152;71;3914;170
547361;Praha 14;55580;35198;34981;5411;70;26;2048;25;12;1443;1474;685;221;16;829;43;56;11;3;36;3612;7784;21;44;1423;10;334;97;62;2750;173
547387;Praha 15;33640;22333;22224;3626;22;22;1221;18;15;995;913;431;87;11;504;30;29;2;7;11;2278;5211;11;31;833;9;203;42;20;1580;74
539601;Praha 16;6143;4377;4346;865;6;3;211;6;6;210;181;55;28;8;89;6;6;0;0;1;509;927;2;6;170;1;43;9;9;211;6
547174;Praha 17;21160;14014;13945;2016;41;20;845;5;4;645;821;271;59;6;314;7;28;1;3;8;1320;3194;10;16;560;4;143;34;15;1020;37
547417;Praha 18;12641;8295;8235;1224;5;5;520;3;5;348;397;168;48;1;233;7;12;6;0;2;817;2001;3;11;286;2;69;25;7;625;33
547344;Praha 19;4815;3496;3471;630;11;0;212;1;1;199;175;60;25;1;77;2;8;3;0;4;325;730;1;3;159;2;35;9;2;237;13
500089;Praha 2;65503;41786;41388;7598;28;38;2002;42;23;2114;1179;1315;131;12;959;33;72;15;9;17;6965;5785;16;45;2390;23;401;88;12;2256;105
538213;Praha 20;11243;7986;7944;1293;11;2;458;6;5;373;544;137;72;0;134;9;21;1;1;5;688;1843;2;11;373;1;95;21;8;507;20
538949;Praha 21;7512;5511;5497;1163;2;1;268;5;1;224;201;68;19;1;101;3;5;1;0;0;641;1297;4;1;218;2;29;12;1;299;17
538931;Praha 22;7355;5090;5067;971;11;3;256;0;1;332;167;100;33;1;142;6;14;0;0;5;612;1031;2;1;184;0;38;16;6;272;11
500097;Praha 3;113687;74334;73890;11970;61;45;4241;68;17;3540;3446;2331;316;18;1640;41;123;36;10;29;10423;13696;43;55;3247;26;680;136;71;4024;230
500119;Praha 4;488098;325834;323632;53552;290;233;19414;311;77;16222;13908;6994;1245;151;6744;179;483;84;57;328;39462;69501;231;218;15626;48;3264;673;207;17104;978
500143;Praha 5;204880;140543;139723;23138;146;84;7076;99;47;7783;5206;3573;535;555;2990;117;220;49;24;88;20407;24818;43;133;7366;44;1332;243;100;7530;447
500178;Praha 6;289324;209836;208142;32019;125;100;11744;152;79;12555;10665;5737;699;81;3503;120;278;54;12;152;32111;37147;118;141;12547;66;1965;364;140;9424;475
500186;Praha 7;51515;34109;33815;5317;31;42;1573;35;12;1813;977;1538;98;10;677;37;51;15;2;32;5923;4556;20;40;2401;9;339;65;18;1590;70
500208;Praha 8;342542;231903;230478;35138;313;157;14232;172;89;10808;15413;4786;894;85;4353;154;272;106;153;165;23909;52083;135;218;10385;58;2520;621;219;14283;748
500216;Praha 9;71928;48195;47890;8456;55;34;2853;40;18;2015;2233;894;192;17;1007;48;47;6;4;43;5164;11169;40;36;2040;24;438;111;28;3057;154
538060;Praha-BÏchovice;1546;1107;1105;237;1;2;43;1;1;46;54;11;10;1;20;1;1;1;0;0;124;240;1;1;51;1;5;1;1;74;1
538078;Praha-Benice;484;367;363;74;0;2;13;0;0;30;8;3;1;0;6;0;1;0;0;0;37;79;0;0;15;0;10;0;0;25;0
538124;Praha-B¯ezinÏves;957;725;721;147;1;0;44;1;0;32;41;8;3;0;9;0;2;0;0;0;90;162;0;0;28;3;10;1;1;36;1
547310;Praha-»akovice;7158;5045;4999;914;2;2;250;1;1;360;225;73;20;0;108;1;14;1;1;7;476;1175;2;2;224;2;40;11;6;297;13
547298;Praha-œ·blice;2598;1853;1842;347;0;2;86;0;0;172;84;19;10;1;43;1;2;1;0;0;242;334;2;2;60;0;25;6;4;115;4
547301;Praha-DolnÌ Chabry;3020;2276;2253;483;0;2;85;0;1;125;72;36;7;1;47;2;4;0;0;1;309;412;1;2;112;1;24;5;1;117;11
547379;Praha-DolnÌ MÏcholupy;1737;1319;1315;274;2;0;67;2;0;61;39;21;4;0;28;2;2;0;0;1;168;268;1;1;59;0;7;1;1;69;7
538175;Praha-DolnÌ PoËernice;1790;1351;1339;290;1;1;61;1;1;59;47;24;11;0;44;0;1;0;0;1;148;275;2;1;68;1;8;2;2;76;3
538205;Praha-DubeË;2601;1916;1905;335;10;2;110;0;0;77;92;34;6;3;57;2;5;0;1;6;219;427;0;5;82;0;26;3;1;122;12
538302;Praha-Kl·novice;2597;1887;1877;458;3;2;74;0;1;93;60;33;8;0;37;0;2;0;0;1;249;375;1;0;66;0;15;6;4;85;9
538353;Praha-KolodÏje;1032;788;784;170;0;0;34;0;1;41;34;10;5;0;11;0;2;0;0;0;94;176;2;2;25;0;2;3;1;31;0
538361;Praha-Kolovraty;2577;1977;1965;319;1;2;88;2;0;189;55;36;14;0;54;0;5;0;0;2;256;400;2;1;104;0;20;2;1;84;2
538388;Praha-Kr·lovice;284;195;194;31;0;0;19;0;0;10;10;2;0;0;2;0;1;0;0;0;15;39;0;2;7;0;1;1;0;17;0
538400;Praha-K¯eslice;748;598;595;116;1;0;17;0;0;31;6;10;4;0;14;0;1;0;0;0;95;120;0;2;20;0;6;0;2;40;0
547042;Praha-Kunratice;5771;4270;4238;799;2;6;151;1;1;270;152;95;24;1;95;4;12;0;0;0;641;839;4;2;169;1;29;5;0;213;9
547051;Praha-Libuö;6550;4542;4509;733;5;4;218;6;1;188;218;77;27;0;106;3;10;1;1;3;510;1017;3;4;173;2;48;9;2;285;25
539449;Praha-Lipence;1935;1450;1442;330;0;0;57;3;0;56;55;22;4;0;33;0;3;1;0;2;201;295;1;3;51;0;14;13;2;72;4
539465;Praha-Lochkov;594;420;418;73;1;0;18;0;0;23;16;5;5;0;15;1;1;0;0;2;40;101;0;1;16;0;4;2;0;23;1
547140;Praha-Lysolaje;888;685;680;78;0;0;20;1;1;131;12;19;0;0;12;0;0;0;0;0;110;125;1;0;56;0;5;1;0;16;3
547158;Praha-Nebuöice;1742;1188;1181;186;3;0;52;1;0;113;50;35;3;2;11;1;1;1;0;2;128;283;2;0;42;0;17;4;1;63;3
538531;Praha-NedvÏzÌ;228;167;167;31;4;0;7;0;3;4;6;2;1;0;5;0;0;0;0;0;14;37;0;0;5;0;4;0;2;14;1
547395;Praha-Petrovice;4717;3142;3120;450;8;3;203;4;0;161;152;75;8;2;75;3;8;0;0;2;309;712;0;5;132;0;31;7;3;173;9
539589;Praha-P¯ednÌ Kopanina;399;314;311;67;0;1;15;0;0;12;10;7;3;0;5;1;2;0;0;0;31;58;0;0;15;0;4;3;0;15;0
539635;Praha-ÿeporyje;2947;2074;2069;405;7;0;107;2;0;105;49;43;5;5;55;1;3;0;1;1;235;425;1;4;109;0;20;4;1;105;4
538736;Praha-Satalice;1658;1259;1248;223;1;0;68;0;2;141;38;16;6;0;35;2;0;2;0;2;132;254;1;0;61;0;14;5;1;74;2
539678;Praha-Slivenec;2524;1857;1844;355;1;0;68;4;0;249;53;17;14;3;40;3;1;0;0;0;248;305;0;3;58;1;20;5;1;102;2
547271;Praha-Suchdol;4635;3413;3393;510;3;1;147;4;4;434;145;83;12;0;64;1;3;0;0;1;414;655;0;0;165;2;28;5;2;166;7
539724;Praha-äeberov;2145;1588;1581;343;1;1;53;0;0;61;58;19;3;1;34;2;1;1;0;2;218;341;3;3;57;1;23;8;4;86;5
547409;Praha-ätÏrboholy;1275;975;972;213;1;0;39;2;0;48;33;16;3;0;9;2;4;0;0;1;125;235;0;1;35;0;7;0;1;36;3
547328;Praha-Troja;889;699;693;138;0;0;25;1;1;66;16;17;1;1;10;3;0;1;0;0;135;107;0;0;47;0;6;2;0;22;0
539791;Praha-⁄jezd;2085;1583;1577;292;1;1;55;0;0;80;59;31;8;0;38;2;2;0;0;0;205;337;3;2;67;1;15;4;1;95;6
547115;Praha-Velk· Chuchle;1746;1313;1304;260;0;0;51;1;0;77;52;28;2;3;19;0;1;0;1;0;209;243;0;3;49;0;5;1;3;82;1
539007;Praha-Vino¯;2945;2166;2158;337;8;4;107;1;2;201;85;35;8;1;40;2;2;1;0;0;204;486;1;1;138;1;11;2;2;154;6
539864;Praha-Zbraslav;7359;5210;5173;905;7;4;255;4;1;249;215;124;22;2;102;5;12;1;0;10;657;1045;4;2;263;1;63;8;2;280;15
539899;Praha-ZliËÌn;4079;2826;2801;472;1;0;111;2;0;169;125;33;15;4;50;2;6;1;0;2;347;623;1;2;131;0;33;5;4;166;6
